x,y
-13026,169676676
7900,62410000
-17638,311099044
12245,149940025
17794,316626436
-8103,65658609
-2158,4656964
19634,385493956
18161,329821921
10616,112699456
4454,19838116
4767,22724289
-9374,87871876
-5424,29419776
-8143,66308449
-18096,327465216
-17708,313573264
-19922,396886084
-471,221841
-17022,289748484
-10271,105493441
-14078,198190084
-7864,61842496
7223,52171729
-9726,94595076
3272,10705984
-17186,295358596
-2318,5373124
-17190,295496100
-2163,4678569
13657,186513649
-15024,225720576
-6177,38155329
-5771,33304441
18105,327791025
7617,58018689
-15022,225660484
11941,142587481
-16009,256288081
-17522,307020484
-10341,106936281
1250,1562500
17977,323172529
4934,24344356
-16772,281299984
-10988,120736144
-4668,21790224
16044,257409936
-9032,81577024
-9832,96668224
19755,390260025
17456,304711936
7620,58064400
-18826,354418276
-18021,324756441
-11697,136819809
18357,336979449
-14936,223084096
12669,160503561
6890,47472100
-17227,296769529
-18491,341917081
-16585,275062225
5321,28313041
19960,398401600
19285,371911225
18645,347636025
-2472,6110784
-5132,26337424
-12690,161036100
13959,194853681
-16039,257249521
-7965,63441225
-9675,93605625
-18798,353364804
-19543,381928849
-7057,49801249
15358,235868164
9737,94809169
-11291,127486681
-19549,382163401
17144,293916736
-8824,77862976
3742,14002564
3617,13082689
-15046,226382116
-18786,352913796
-10067,101344489
-9894,97891236
-19118,365497924
-2616,6843456
-8595,73874025
14968,224041024
12358,152720164
-11605,134676025
-18242,332770564
-12816,164249856
15850,251222500
-2702,7300804
2302,5299204
-16698,278823204
12226,149475076
18595,345774025
16340,266995600
4610,21252100
15294,233906436
16464,271063296
14831,219958561
-2259,5103081
12086,146071396
1901,3613801
-8483,71961289
-881,776161
-11749,138039001
8763,76790169
-5918,35022724
-6393,40870449
1836,3370896
-9521,90649441
16349,267289801
-731,534361
15792,249387264
4059,16475481
9905,98109025
16034,257089156
10029,100580841
16066,258116356
-19276,371564176
4567,20857489
-17419,303421561
-10050,101002500
-19958,398321764
-1010,1020100
-7062,49871844
7334,53787556
-18381,337861161
10105,102111025
18396,338412816
-13894,193043236
1453,2111209
11971,143304841
-458,209764
-9322,86899684
9458,89453764
-3468,12027024
15102,228070404
-17849,318586801
-19557,382476249
-1738,3020644
-14464,209207296
-18685,349129225
-13350,178222500
-4345,18879025
-16392,268697664
-1895,3591025
-18497,342139009
-3876,15023376
2157,4652649
446,198916
-6850,46922500
12040,144961600
16933,286726489
-2931,8590761
8789,77246521
-14695,215943025
-13061,170589721
-12403,153834409
16360,267649600
-12794,163686436
-19211,369062521
-1402,1965604
8502,72284004
3906,15256836
13871,192404641
5016,25160256
17663,311981569
14242,202834564
4876,23775376
17544,307791936
7060,49843600
-3015,9090225
-8024,64384576
-4302,18507204
-15454,238826116
-14086,198415396
-18983,360354289
-8007,64112049
-15628,244234384
-16418,269550724
-17735,314530225
-5575,31080625
-12827,164531929
15656,245110336
-14137,199854769
-15772,248755984
11304,127780416
19579,383337241
13519,182763361
-5376,28901376
5730,32832900
-17865,319158225
-9729,94653441
10517,110607289
-16496,272118016
-14485,209815225
16307,265918249
11481,131813361
6568,43138624
-17503,306355009
3975,15800625
-8281,68574961
-5134,26357956
-18709,350026681
-478,228484
-19377,375468129
-7146,51065316
1619,2621161
-4292,18421264
-3435,11799225
5271,27783441
12986,168636196
-4785,22896225
-11993,143832049
-4911,24117921
6854,46977316
1573,2474329
-7135,50908225
2139,4575321
5875,34515625
-4702,22108804
-14564,212110096
-18565,344659225
-11934,142420356
2494,6220036
15824,250398976
-5009,25090081
-2029,4116841
-3335,11122225
17274,298391076
5135,26368225
6567,43125489
-4690,21996100
-14533,211208089
-15937,253987969
10248,105021504
-3106,9647236
-3112,9684544
13904,193321216
14650,214622500
-11109,123409881
-11615,134908225
11989,143736121
1959,3837681
-9473,89737729
-7375,54390625
-7080,50126400
18923,358079929
-16173,261565929
-12097,146337409
12686,160934596
-9212,84860944
3107,9653449
-17257,297804049
2304,5308416
-11027,121594729
13106,171767236
3249,10556001
-5042,25421764
-10609,112550881
12553,157577809
14772,218211984
-349,121801
-3818,14577124
12221,149352841
17873,319444129
4306,18541636
16319,266309761
-7685,59059225
14316,204947856
18697,349577809
-7388,54582544
-12885,166023225
-19062,363359844
-3945,15563025
-16302,265755204
-16168,261404224
-10554,111386916
-8069,65108761
-15283,233570089
-17236,297079696
-7455,55577025
-6823,46553329
-10262,105308644
8426,70997476
10529,110859841
-14584,212693056
9467,89624089
8892,79067664
7819,61136761
2342,5484964
-11638,135443044
-14785,218596225
-7026,49364676
6542,42797764
3110,9672100
-6470,41860900
2057,4231249
1548,2396304
-16349,267289801
6380,40704400
7502,56280004
-17002,289068004
-18253,333172009
6465,41796225
15022,225660484
-8843,78198649
13785,190026225
6264,39237696
8489,72063121
-13581,184443561
-4560,20793600
-5478,30008484
-7537,56806369
-7355,54096025
-10565,111619225
17871,319372641
-13647,186240609
-9510,90440100
1380,1904400
281,78961
-8711,75881521
15374,236359876
-3314,10982596
8588,73753744
-16935,286794225
-16007,256224049
-17700,313290000
17204,295977616
5743,32982049
-18433,339775489
-19743,389786049
-18125,328515625
10800,116640000
2134,4553956
17105,292581025
-19504,380406016
-3642,13264164
-6461,41744521
-7182,51581124
10395,108056025
17697,313183809
-3657,13373649
-17284,298736656
3798,14424804
-3273,10712529
1289,1661521
7133,50879689
-4151,17230801
-18523,343101529
16257,264290049
-1078,1162084
4365,19053225
-14709,216354681
-5827,33953929
-9184,84345856
19113,365306769
-12418,154206724
12940,167443600
9765,95355225
6024,36288576
2107,4439449
-10200,104040000
-17324,300120976
-6135,37638225
-6561,43046721
-1621,2627641
-14172,200845584
9815,96334225
19151,366760801
5112,26132544
11223,125955729
12011,144264121
12427,154430329
-52,2704
-18781,352725961
2867,8219689
2548,6492304
-8909,79370281
11281,127260961
1926,3709476
-1000,1000000
-14727,216884529
3917,15342889
-14563,212080969
4542,20629764
-4365,19053225
-4446,19766916
-270,72900
2949,8696601
9665,93412225
-5247,27531009
8651,74839801
-3561,12680721
9379,87965641
11364,129140496
-6329,40056241
6799,46226401
-19787,391525369
1055,1113025
4415,19492225
-2712,7354944
11745,137945025
-18349,336685801
16767,281132289
-16714,279357796
-788,620944
1946,3786916
14381,206813161
2452,6012304
2350,5522500
1212,1468944
5498,30228004
-18234,332478756
-6482,42016324
-10247,105001009
-16885,285103225
17590,309408100
14791,218773681
9908,98168464
6532,42667024
17898,320338404
5879,34562641
-4241,17986081
-16234,263542756
16506,272448036
-4131,17065161
1372,1882384
-13499,182223001
6798,46212804
-13565,184009225
11447,131033809
7090,50268100
1726,2979076
-19425,377330625
-12508,156450064
1015,1030225
-13926,193933476
-14008,196224064
3551,12609601
14981,224430361
-18037,325333369
-3584,12845056
-1849,3418801
-942,887364
5406,29224836
-4706,22146436
-18482,341584324
13665,186732225
16362,267715044
-15394,236975236
-8083,65334889
13953,194686209
12074,145781476
-4125,17015625
-3043,9259849
19636,385572496
-18455,340587025
14583,212663889
-10744,115433536
-19858,394340164
8114,65836996
11870,140896900
-18882,356529924
8787,77211369
6548,42876304
-3476,12082576
-4286,18369796
9281,86136961
-17925,321305625
-2660,7075600
9468,89643024
7982,63712324
-17935,321664225
15255,232715025
6682,44649124
14154,200335716
-12552,157552704
-18735,351000225
17802,316911204
-7174,51466276
9897,97950609
-7369,54302161
4209,17715681
-3207,10284849
7238,52388644
-10426,108701476
17171,294843241
-10118,102373924
8700,75690000
8587,73736569
-5312,28217344
-19273,371448529
13342,178008964
-18474,341288676
19358,374732164
9265,85840225
6504,42302016
4869,23707161
17584,309197056
1422,2022084
-12303,151363809
13326,177582276
-10484,109914256
6960,48441600
-14342,205692964
-3506,12292036
16949,287268601
10177,103571329
-8464,71639296
4068,16548624
-13025,169650625
5204,27081616
-5192,26956864
18527,343249729
-5950,35402500
8452,71436304
-13653,186404409
-1850,3422500
-13219,174741961
-17590,309408100
8808,77580864
-5018,25180324
-16718,279491524
15186,230614596
-9877,97555129
5739,32936121
-2428,5895184
18641,347486881
-1120,1254400
-952,906304
-6690,44756100
16114,259660996
2618,6853924
-9734,94750756
1822,3319684
-11504,132342016
-6529,42627841
8325,69305625
-8568,73410624
-12434,154604356
-9496,90174016
-14347,205836409
-13381,179051161
15881,252206161
-18112,328044544
284,80656
15969,255008961
-4795,22992025
-16839,283551921
2709,7338681
