x,y
4.617564,2.235668
-1.798384,2.126855
-5.845703,2.879616
-3.345659,0.987022
9.355118,0.752541
-9.877656,0.773559
9.274096,0.640296
8.797308,1.149378
8.943898,0.989283
8.741643,1.22344
-2.056513,1.940189
-3.049639,0.945956
-4.118859,1.442718
0.129673,4.899091
-7.680658,2.323675
5.410718,2.927135
3.197854,1.049637
-6.865062,2.963748
-2.435959,1.519386
-7.204746,2.604896
3.89896,1.138578
6.104555,3.588805
-9.899496,1.106493
0.462703,4.413975
4.87969,2.337046
-7.159546,2.558272
-0.365434,4.582957
0.891096,3.832409
1.542005,2.544129
-5.901729,2.8645
2.467276,1.361948
-6.305858,2.910568
-9.786312,1.164396
-6.779134,3.289251
-6.438903,3.002553
0.807941,4.023375
9.47668,0.574169
-5.091469,2.377853
-2.109582,1.492948
-5.647958,2.841377
-1.359862,2.932377
-5.336884,2.725983
7.798175,2.134455
-9.233462,1.067706
1.847585,2.567418
3.103472,0.625997
-7.603219,2.20446
3.049534,0.815391
9.686456,0.888164
-5.86525,2.975441
-2.50701,1.68141
-0.733004,4.450127
-3.327796,1.150726
-1.135751,3.554238
0.082711,5.186797
9.979616,0.938359
2.608097,1.193383
8.191681,1.799938
0.153198,5.108558
-0.170976,5.101708
-1.424316,2.653889
-3.838142,1.35171
4.346448,1.66738
9.248292,0.998021
-5.810145,3.190829
-6.547024,3.274257
0.97905,3.635766
1.109368,3.437866
1.756317,2.161691
5.783813,3.10057
3.980132,1.400862
-5.907289,3.059794
-4.901811,2.66709
5.558327,2.828062
-5.499552,2.713128
9.662064,0.997365
6.072372,3.067155
6.726299,3.050763
-6.737929,3.185252
2.749949,1.030749
-9.824792,1.066117
2.623798,1.470139
-5.84044,2.781042
7.607146,2.488179
4.140885,1.455398
4.467433,1.93774
0.189858,5.260402
9.742043,0.904551
-6.935075,2.793649
4.211496,1.351529
6.479618,3.179932
-7.526575,2.480447
2.339028,1.450659
-0.362753,4.787119
-8.004994,1.762977
2.342918,1.56161
-9.437593,1.054328
1.828782,2.482152
-8.53948,1.390255
-8.519041,1.318238
3.598708,0.9946
-4.399968,1.893541
2.079674,1.580384
6.992816,3.047986
-2.923534,1.00892
1.97265,1.640284
-4.158132,1.507244
7.528853,2.179759
4.884992,2.424763
-1.535345,2.824355
-2.483836,1.426809
-4.574133,1.972285
4.596479,2.139638
7.734888,2.448602
-9.125946,0.920811
-0.845996,3.935371
7.248995,2.607582
8.038479,1.945408
-8.750231,1.202203
5.27641,2.759191
-1.445998,2.665656
9.983669,1.194628
-8.761964,1.077485
1.726413,2.534841
1.345861,3.009591
3.240519,0.982577
8.145624,1.518951
-5.070287,2.641191
-5.030225,2.195409
4.137167,1.208156
-3.245581,1.293694
2.146702,1.639184
-3.691544,1.377831
-9.510557,0.812357
-0.97983,3.917297
-2.617314,0.826331
-0.723245,4.052299
-6.455146,3.426719
3.522463,1.244562
4.31145,1.820808
